Presence 1,Presence 2,Was medicine effective?
0.02773,6018.15,0
0.0,6013.14,1
0.0,5926.45,1
0.00771,4940.5,1
0.04586,6504.8,0
0.0,6353.42,1
0.0,6744.32,1
0.02176,6966.07,0
0.0343,6172.06,0
0.03449,6194.37,0
0.01704,7277.17,0
0.00581,7231.41,1
0.04957,6717.95,0
0.0,6316.8,1
0.02131,5919.23,0
0.07555,5557.26,0
0.0114,5805.37,1
0.00893,7430.81,1
0.03755,6747.37,0
0.0,6157.01,1
0.02768,6580.59,0
0.00521,5433.19,1
0.01493,5126.06,1
0.05447,6362.53,0
0.01676,6561.77,0
0.02781,6064.04,0
0.01563,5503.97,1
0.01946,5171.57,1
0.0,5150.94,1
0.0,7417.91,1
0.02795,5731.05,0
0.03332,6627.65,0
0.00066,5840.05,1
0.0,6153.77,1
0.01897,5279.9,0
0.032,7395.75,0
0.04239,5851.44,0
0.0,6700.24,1
0.0,6014.78,1
0.0,6761.58,1
0.0,6240.7,1
0.03231,5503.37,0
0.01783,7200.13,0
0.0,6025.02,1
0.0,6423.85,1
0.06354,6986.65,0
0.0,5587.39,1
0.02491,7934.41,0
0.05862,6076.32,0
0.02242,5186.24,0
0.0,7374.27,1
0.0,6122.08,1
0.0,4914.67,1
0.02834,6003.2,0
0.02766,5732.09,0
0.0,6078.16,1
0.02303,6486.31,0
0.0,5290.15,1
0.03365,5998.75,0
0.02198,6158.74,0
0.0423,6056.14,0
0.0,5006.45,1
0.01908,5787.75,0
0.01457,8756.61,0
0.00812,7758.5,0
0.0567,3450.01,0
0.04589,6818.63,0
0.00575,4769.28,1
0.00282,6295.94,1
0.0,6327.88,1
0.03202,7066.43,0
0.00246,5078.76,1
0.0,6553.65,1
0.03805,5747.79,0
0.02797,7471.66,0
0.07209,6488.26,0
0.0,5823.2,1
0.0,4680.02,1
0.0,6758.4,1
0.0071,6621.41,1
0.00384,7368.92,1
0.0,5748.02,1
0.07353,5208.43,0
0.0,7699.22,1
0.00847,6831.86,1
0.06413,6191.31,0
0.0,7177.94,1
0.00572,7006.1,1
0.0,6295.15,1
0.03818,6056.81,0
0.05459,6229.09,0
0.00429,6258.36,1
0.0068,7968.24,1
0.0,5369.85,1
0.0,5925.33,1
0.00277,7531.27,1
0.01582,5616.66,1
0.0,7180.31,1
0.0,7906.19,1
0.0224,6461.16,0
0.02621,5555.68,0
0.0,8325.19,1
0.0,6735.76,1
0.00504,7341.22,1
0.07123,6434.86,0
0.01334,6582.98,0
0.0232,7527.88,0
0.0,8488.79,0
0.03031,7846.63,0
0.0,7161.82,1
0.0,7555.67,1
0.00966,5484.59,1
0.0,6905.61,1
0.02747,5650.41,0
0.02512,1389.11,1
0.00416,791.69,1
0.01872,6377.4,0
0.02271,5538.93,0
0.00157,286.03,1
0.02553,1276.87,1
0.00258,5606.34,1
0.02403,7549.57,0
0.00546,3924.44,1
0.02047,7261.56,0
0.02812,1836.37,1
0.00423,7008.9,1
0.02121,1299.78,1
0.01963,6655.42,0
0.01184,1048.48,1
0.01025,1712.31,1
0.02009,8109.68,0
0.00948,5013.58,1
0.02648,7064.83,0
0.02314,6449.57,0
0.00829,2882.95,1
0.0121,4348.75,0
0.01391,6966.3,0
0.01634,3183.01,0
0.02795,5290.79,0
0.00281,8431.23,1
0.01404,6907.41,0
0.00514,8127.8,1
0.02436,9032.19,0
0.01771,6186.54,0
0.00751,8527.15,0
0.01162,8936.75,0
0.02592,7925.69,0
0.01367,3382.06,1
0.02746,6570.13,0
0.02966,5249.67,0
0.02871,6333.67,0
0.02247,6034.06,1
0.00564,7071.31,1
0.00085,17.92,1
0.01353,517.27,1
0.02526,4878.32,1
0.00634,8612.63,1
0.0126,7522.39,0
0.02288,6835.57,0
0.0025,2713.46,0
0.02821,2369.78,1
0.02334,2610.37,1
0.02344,4405.38,0
0.01467,8267.55,0
0.01055,3480.38,1
0.02099,401.75,0
0.00514,1686.01,1
0.00065,6955.63,1
0.01213,3347.42,1
0.00899,4300.37,1
0.0,942.61,1
0.02448,2565.27,1
0.00921,1876.56,1
0.0,2292.95,1
0.05723,1795.28,0
0.01079,2588.39,1
0.01673,3747.53,1
0.00026,865.39,1
0.01059,616.92,1
0.06348,1708.24,0
0.00635,662.09,1
0.0,1357.72,0
0.0,3097.98,0
0.0727,2735.82,0
0.02658,3450.62,0
0.01511,798.43,1
0.0,3402.11,1
0.0,1780.35,1
0.00911,1521.23,1
0.00181,2967.99,1
0.04127,1197.14,0
0.04751,3013.69,0
0.0,1743.68,1
0.02156,1244.51,1
0.04819,1871.79,0
0.03879,1329.59,0
0.02418,3305.31,1
0.0,4899.74,1
0.01442,1337.64,1
0.01156,1178.21,1
0.02848,2662.61,1
0.0,1528.27,0
0.04806,2829.7,0
0.05557,2809.5,0
0.02222,3432.62,1
0.02187,1825.61,1
0.01161,2682.71,1
0.05572,3535.9,0
0.0,956.26,1
0.01968,4535.95,0
0.00142,2189.49,1
0.00074,1371.91,1
0.02261,2856.86,1
0.0,1926.96,1
0.0,1560.93,1
0.01957,1686.87,1
0.01869,3396.94,1
0.01965,3381.08,1
0.00859,2474.35,1
0.0491,2419.37,0
0.00875,2210.84,1
0.02153,1134.71,1
0.00958,2209.05,1
0.04554,1315.41,0
0.00671,2250.21,1
0.00074,1575.05,1
0.03669,1699.36,0
0.03606,1402.38,1
0.0,3688.13,1
0.01193,2429.72,1
0.00477,1017.23,1
0.0,2176.22,1
0.0,0.0,0
0.01735,2418.23,1
0.0,2654.68,1
0.03794,3017.77,0
0.00659,4033.63,1
0.00147,601.19,1
0.02642,417.62,1
0.0,1724.95,1
0.01092,2465.59,1
0.02859,1410.16,1
0.00642,1895.38,1
0.00649,1660.39,0
0.02628,1335.37,1
0.02413,2076.07,1
0.06545,1350.04,0
0.0006,592.45,1
0.00448,660.05,1
0.0,2857.45,1
0.0,2953.09,1
0.00582,3195.25,1
0.01197,1415.11,1
0.03329,1707.1,0
0.0,3160.22,1
0.04288,2979.94,0
0.0,936.81,1
0.02312,2908.0,1
0.0,1994.76,1
0.02054,2143.84,1
0.00024,2813.79,1
0.0,1632.17,1
0.0,4530.7,1
0.00302,894.56,0
0.02399,2677.63,1
0.02574,1853.5,1
0.04861,4219.98,0
0.0,2544.02,1
0.00779,1547.65,1
0.02159,0.0,0
0.0,3282.39,1
0.03361,2752.38,0
0.00767,1914.1,1
0.02337,105.16,1
0.00696,137.19,1
0.0,1938.82,1
0.0,3011.48,1
0.01134,1018.32,1
0.02798,1823.04,1
0.0234,3643.99,1
0.03539,938.28,1
0.02538,792.03,1
0.02648,3419.92,1
0.04647,1469.11,0
0.0,1639.9,0
0.00814,2459.41,1
0.04845,3231.72,0
0.02791,2510.32,1
0.05267,2272.81,0
0.03967,2375.15,0
0.04636,2236.98,0
0.04624,2376.93,0
0.01733,1606.0,1
0.02926,3627.9,0
0.04291,3455.1,0
0.02644,2334.06,1
0.06081,2524.52,0
0.04594,1939.25,0
0.04305,1030.16,1
0.04895,2531.75,0
0.05291,2610.96,0
0.02262,3108.29,0
0.0294,2433.88,1
0.04419,2309.66,0
0.03512,2956.82,0
0.04039,1746.11,0
0.02805,2387.69,1
0.03842,2668.01,0
0.03995,1728.96,0
0.03666,2393.07,0
0.02953,1505.91,1
0.04244,2388.47,0
0.05407,2876.82,0
0.04521,1972.23,0
0.04264,2017.09,0
0.03215,3588.21,0
0.03879,2679.81,0
0.04017,2274.96,0
0.0567,2630.37,0
0.04704,1914.83,0
0.03779,2278.68,0
0.02856,2611.06,1
0.03792,1229.71,1
0.03472,2132.6,0
0.05786,3266.9,0
0.05588,1671.11,0
0.04405,2793.09,0
0.05699,2706.66,0
0.05397,3429.97,0
0.03363,2154.38,1
0.0417,2827.06,0
0.02994,2832.17,1
0.04406,2986.09,0
0.0472,2121.15,0
0.06015,2269.47,0
0.0499,2895.24,0
0.0224,1519.36,1
0.03685,2544.69,0
0.04364,2280.82,0
0.04186,2933.36,0
0.05138,2487.88,0
0.0401,2090.21,0
0.02935,2035.6,1
0.04474,1503.82,0
0.04882,2506.79,0
0.04713,3108.3,0
0.04646,1659.2,0
0.05547,1279.1,0
0.04994,2093.15,0
0.0457,2390.01,0
0.05442,2173.68,0
0.01919,1791.34,1
0.02534,2363.18,1
0.03969,2199.22,0
0.03558,2846.68,1
0.05065,2467.38,0
0.04413,1981.11,0
0.03351,2288.96,0
0.04666,3150.26,0
0.07486,1976.85,0
0.03995,2527.14,0
0.03514,2145.43,0
0.03044,1942.73,0
0.02304,3000.11,1
0.04039,3163.53,0
0.04993,2855.62,0
0.0476,2957.82,0
0.05795,1480.55,0
0.04342,2462.68,0
0.03851,2815.03,0
0.03128,2339.93,0
0.05271,2701.63,0
0.0448,2679.08,0
0.04622,2042.36,0
0.02971,994.85,1
0.03764,2123.86,0
0.04948,2534.06,0
0.02783,2741.72,1
0.02458,2873.73,1
0.02582,1775.5,1
0.03312,1883.38,0
0.03374,2795.68,0
0.04012,1949.14,0
0.04438,1835.45,0
0.03886,2847.71,0
0.05334,3917.7,0
0.04783,2673.75,0
0.04958,2320.31,0
0.04611,2585.55,0
0.03883,2939.33,0
0.04392,2863.14,0
0.03445,2713.47,0
0.03934,2356.92,0
0.0627,2522.15,0
0.0381,2197.95,1
0.04522,2383.6,0
0.03176,2295.66,0
0.04631,2324.37,0
0.04581,2704.18,0
0.04938,1746.77,0
0.0402,1020.42,1
0.05,1880.94,0
0.02834,1624.59,1
0.0197,3127.54,1
0.04528,1936.06,0
0.04732,2856.77,0
0.01949,2408.27,1
0.04916,2690.48,0
0.03547,1792.72,0
0.03039,2104.44,0
0.04141,2107.3,0
0.04083,2892.94,0
0.04869,2240.18,0
0.03464,2106.99,0
0.02737,2633.35,1
0.0268,2323.04,1
0.04797,3160.38,0
0.05515,2223.43,0
0.03613,1352.34,0
0.03362,2606.98,0
0.04241,1465.21,0
0.03902,3383.62,0
0.05113,2515.89,0
0.03865,2022.6,0
0.04353,1748.38,0
0.0523,1609.8,0
0.03963,1603.72,0
0.01933,1255.1,0
0.04663,3188.95,0
0.04215,2983.2,0
0.03597,2597.47,1
0.0352,2361.93,0
0.0385,2810.0,0
0.04099,2144.15,0
0.04561,2270.24,0
0.03195,2277.84,0
0.05049,1825.57,0
0.04313,2356.73,0
0.0306,2023.75,0
0.05904,1808.01,0
0.05852,2630.23,0
0.0511,1040.75,0
0.05188,2963.48,0
0.0372,1837.09,0
0.0476,3459.71,0
0.04521,1627.36,0
0.04969,2478.62,0
0.04239,1971.33,0
0.04648,1348.73,0
0.0392,1987.58,0
0.02889,2766.64,1
0.04115,2628.6,0
0.04515,2329.47,0
0.04752,2189.92,0
0.04249,2654.99,0
0.04613,2108.46,0
0.05417,2204.28,0
0.02623,3362.74,0
0.0449,1335.17,0
0.02186,2862.88,1
0.03753,2507.29,0
0.04036,2278.92,0
0.05782,2796.73,0
0.03147,2849.96,1
0.03542,2857.73,0
0.03933,2368.19,0
0.02471,3154.7,0
0.01778,2825.78,1
0.04085,2003.15,0
0.03126,2271.7,0
0.04816,2666.96,0
0.0262,1629.85,1
0.03555,2009.15,0
0.04816,2914.32,0
0.03993,2237.47,1
0.04133,3081.35,0
0.03312,2196.86,0
0.02707,2022.06,1
0.03982,2095.62,0
0.02022,3063.22,1
0.04818,1870.63,0
0.03824,2068.27,1
0.02748,2413.89,0
0.02758,2952.59,1
0.04477,2633.74,0
0.04481,2004.53,0
0.04609,1842.68,0
0.03842,1657.47,0
0.03377,3360.79,0
0.04562,2444.28,0
0.03119,2879.67,1
0.0375,2772.24,0
0.0512,2771.89,0
0.04757,2804.08,0
0.03364,3250.19,0
0.04979,2469.05,0
0.02959,2112.6,1
0.04522,2694.1,0
0.03916,2457.36,0
0.04202,2199.42,1
0.03945,2524.68,0
0.03701,2670.55,0
0.03254,2546.13,0
0.0424,1503.3,0
0.03397,3180.48,0
0.05121,2643.3,0
0.04757,2806.13,0
0.03359,1697.82,0
0.05254,2857.05,0
0.02973,2976.61,0
0.02382,3262.18,1
0.03173,1081.35,1
0.03735,3343.87,0
0.03616,1120.8,1
0.04834,3358.21,0
0.03588,1191.99,1
0.03057,2437.9,0
0.035,2303.11,1
0.0361,1312.2,0
0.02971,3714.45,0
0.03157,1903.94,0
0.0455,1851.96,0
0.04187,1800.73,0
0.04742,1740.25,0
0.02565,2117.37,1
0.0435,1868.67,0
0.03192,3144.12,1
0.01528,1492.51,1
0.04564,2346.98,0
0.04073,2112.8,0
0.04545,1572.45,0
0.04719,2868.72,0
0.03491,3374.85,0
0.04192,3489.02,0
0.04155,1242.93,0
0.03909,1077.05,1
0.04638,3466.55,0
0.02668,3135.36,0
0.04149,1543.85,0
0.01197,1858.72,1
0.10227,3030.43,0
0.03307,2626.34,0
0.06454,2268.97,0
0.03038,1657.33,1
0.05514,2805.31,0
0.11279,413.8,1
0.10936,1800.71,1
0.08393,2704.87,0
0.06635,2680.46,0
0.08418,1353.73,0
0.04805,158.96,1
0.00378,1436.56,1
0.02376,282.32,1
0.03984,734.87,1
0.03084,2919.72,1
0.04996,2449.91,0
0.00495,2609.9,1
0.10362,877.95,1
0.10855,571.38,0
0.11424,2352.99,1
0.07379,2977.85,0
0.02293,1627.51,0
0.01591,828.29,1
0.00353,1620.96,1
0.05321,1011.13,0
0.05883,196.12,1
0.03334,1986.48,0
0.10303,580.89,1
0.01451,545.51,1
0.08211,3363.95,0
0.06999,2966.87,0
0.01391,1055.39,1
0.07439,52.19,1
0.06896,581.25,0
0.03094,724.95,1
0.0856,3315.64,0
0.04982,1635.62,0
0.08797,2207.52,0
0.0817,1550.05,0
0.01957,855.39,1
0.03513,3252.79,0
0.0048,846.96,1
0.08576,666.32,0
0.05429,54.18,1
0.06311,1541.66,0
0.03675,2554.64,0
0.06765,2572.48,0
0.04062,1099.07,1
0.02766,2409.95,1
0.02478,1784.4,1
0.11279,1701.59,0
0.05795,1141.74,0
0.05315,1142.89,0
0.00288,1344.46,1
0.07666,2722.82,0
0.09517,253.75,1
0.01242,1421.98,1
0.11157,2259.01,1
0.0356,974.57,1
0.02216,601.38,1
0.03721,2200.15,0
0.09898,3121.1,0
0.09102,2523.71,0
0.11049,2066.93,1
0.10557,1582.03,1
0.09412,950.34,0
0.058,1027.46,0
0.04257,3114.13,0
0.11278,353.79,1
0.0032,2179.59,1
0.01211,1988.35,1
0.00084,3045.65,1
0.00899,1373.4,1
0.0096,376.4,1
0.04661,2921.1,0
0.03081,2106.16,0
0.05746,988.66,1
0.0269,3095.85,1
0.10992,3230.62,0
0.0642,607.13,1
0.00548,677.95,1
0.01665,2728.7,0
0.11696,2669.36,1
0.04993,233.0,1
0.05874,1820.03,0
0.04023,1649.6,0
0.01216,1967.75,1
0.00805,3227.26,0
0.0942,2342.12,0
0.00617,806.86,1
0.06171,123.88,1
0.06392,1791.12,0
0.10697,2892.28,0
0.09127,1539.49,0
0.1171,485.1,1
0.10085,355.07,1
0.0057,476.76,0
0.11154,61.84,1
0.04015,1314.99,1
0.06437,559.77,0
0.09915,1438.95,0
0.06469,949.79,0
0.05473,3418.58,0
0.11357,3013.26,1
0.11872,348.41,1
0.08774,377.96,0
0.05589,883.07,1
0.05819,2011.9,0
0.04634,2554.76,0
0.08907,155.17,1
0.04046,2972.64,0
0.03952,1199.89,1
0.03178,3242.38,1
0.04351,240.74,1
0.05618,1670.6,0
0.07758,182.87,0
0.09306,2054.6,0
0.01522,3177.2,1
0.09324,510.62,0
0.06308,425.86,0
0.06884,771.77,0
0.10737,1177.22,1
0.07009,1332.65,0
0.08047,926.85,0
0.07068,825.39,0
0.09,1328.5,0
0.06165,1286.46,0
0.06231,238.53,1
0.06266,739.4,1
0.06263,510.9,0
0.09592,1437.35,0
0.09485,723.44,0
0.09492,1507.42,0
0.09411,1355.73,0
0.09992,1005.24,0
0.0769,1205.89,0
0.08598,686.29,0
0.10485,102.64,1
0.07401,1470.82,0
0.08441,1555.98,0
0.09209,1051.67,0
0.06035,989.89,0
0.07741,768.56,0
0.10236,346.36,1
0.08181,1392.08,0
0.10235,259.47,1
0.08495,1535.53,0
0.07771,316.38,0
0.0873,252.49,1
0.09843,1164.15,0
0.07322,835.44,0
0.09496,1008.45,0
0.08824,1237.54,0
0.06512,1635.76,0
0.08257,490.57,0
0.10221,1322.57,0
0.09426,330.47,0
0.08393,306.29,0
0.07087,1348.32,0
0.08614,1621.13,0
0.06521,1234.7,0
0.08984,1269.3,0
0.07369,34.36,0
0.08779,1282.01,0
0.06318,314.57,0
0.09324,86.81,1
0.06276,924.59,0
0.07525,1602.33,0
0.06792,1451.64,0
0.0731,520.75,0
0.10663,510.18,1
0.06073,349.33,1
0.07998,301.1,0
0.07334,1259.21,0
0.08914,635.95,0
0.06491,88.9,1
0.06793,13.99,0
0.08789,810.85,0
0.07114,891.29,0
0.09947,1026.58,0
0.08209,450.34,0
0.09553,203.56,1
0.09329,249.81,1
0.06677,102.56,0
0.07327,1331.38,0
0.08679,993.77,0
0.09155,194.11,0
0.09288,1325.42,0
0.09534,472.02,1
0.08388,718.33,0
0.09408,1044.98,0
0.09422,1520.22,0
0.09196,324.48,0
0.10247,285.11,1
0.07796,876.2,0
0.07697,156.66,1
0.09858,226.62,1
0.07016,252.31,0
0.0932,1089.55,0
0.10172,1038.23,1
0.10174,1538.94,0
0.07873,133.84,1
0.08421,178.23,0
0.07149,420.0,0
0.08737,167.99,0
0.10693,1603.44,1
0.06157,387.3,1
0.07764,859.83,0
0.10165,1636.31,0
0.07719,1219.41,0
0.10383,847.77,0
0.06352,882.48,0
0.08957,1496.55,0
0.08604,364.41,0
0.07784,45.91,1
0.08545,773.7,0
0.07248,449.86,0
0.0992,967.98,0
0.10441,265.13,1
0.0298,3546.59,1
0.02981,4580.98,0
0.03742,5255.37,0
0.03125,4129.96,0
0.03366,4101.92,0
0.0399,5848.84,0
0.02827,5701.59,0
0.02448,5653.8,0
0.02854,6152.04,0
0.03026,3426.0,0
0.03466,6671.96,0
0.02726,4078.83,0
0.03176,6527.53,0
0.03271,5846.8,0
0.03026,7058.72,0
0.02349,7071.94,0
0.03259,5575.48,0
0.03067,3507.02,0
0.03225,4689.43,0
0.02544,2635.37,1
0.02713,2253.06,1
0.02564,4879.87,0
0.0352,4165.16,0
0.02595,2624.2,1
0.03505,1100.89,1
0.02398,3523.16,1
0.0332,5142.27,0
0.02839,6984.53,0
0.03362,5860.59,0
0.02635,2039.74,1
0.03024,3555.2,0
0.03179,2574.56,0
0.03245,2165.79,1
0.02412,5109.08,0
0.02674,4378.29,0
0.03519,6421.3,0
0.03374,8460.74,0
0.0282,5846.8,0
0.03981,5623.5,0
0.03914,4302.83,0
0.03219,2923.39,0
0.03831,5850.83,0
0.0311,7021.98,0
0.03539,2925.21,0
0.02023,5124.64,1
0.02927,6821.03,0
