	U1 		 U2 		 U3
122. 0.978755 0.583761 0.00840035 
123. 0.636874 0.613675 0.784273 
124. 0.825641 0.156044 0.131604 
125. 0.034188 0.262149 0.272982 
126. 0.581197 0.279976 0.144224 
127. 0.879243 0.795116 0.25902 
128. 0.945421 0.576679 0.298505 
129. 0.0702076 0.0117216 0.496733 
130. 0.193407 0.996337 0.768972 
131. 0.287546 0.678388 0.632005 
132. 0.88779 0.656044 0.437322 
133. 0.0905983 0.757021 0.823202 
134. 0.540049 0.33895 0.0136779 
135. 0.179731 0.807326 0.81489 
136. 0.0550672 0.614408 0.506808 
137. 0.936142 0.218315 0.0758372 
138. 0.912576 0.554579 0.477741 
139. 0.511966 0.133455 0.849398 
140. 0.702442 0.342369 0.724269 
141. 0.940171 0.0978022 0.919058 
142. 0.981074 0.31221 0.363318 
143. 0.676313 0.534676 0.0930984 
144. 0.495971 0.442002 0.988577 
145. 0.430525 0.56569 0.233968 
146. 0.318071 0.0777778 0.629844 
147. 0.406593 0.610379 0.747761 
148. 0.911355 0.875946 0.545059 
149. 0.491209 0.446398 0.28857 
150. 0.349573 0.939316 0.889415 
151. 0.942125 0.832234 0.906963 
152. 0.0141636 0.73138 0.866399 
153. 0.240781 0.159707 0.165035 
154. 0.0927961 0.573504 0.653052 
155. 0.577411 0.742002 0.305392 
156. 0.814896 0.0625153 0.146755 
157. 0.851648 0.313187 0.162759 
158. 0.476313 0.617705 0.391517 
159. 0.096337 0.498535 0.293833 
160. 0.637607 0.37033 0.487309 
161. 0.838095 0.474237 0.106364 
162. 0.24591 0.30525 0.200089 
163. 0.179976 0.943223 0.75824 
164. 0.0592186 0.164225 0.924947 
165. 0.00659341 0.957509 0.258283 
166. 0.112088 0.378388 0.598064 
167. 0.905372 0.159096 0.255633 
168. 0.389499 0.521612 0.0783078 
169. 0.620757 0.331624 0.566305 
170. 0.551648 0.184615 0.560819 
171. 0.376923 0.690476 0.463785 
172. 0.40696 0.683394 0.937532 
173. 0.917582 0.0814408 0.0999734 
174. 0.59707 0.921734 0.0487142 
175. 0.148962 0.337851 0.905948 
176. 0.532112 0.713919 0.849725 
177. 0.0448107 0.675824 0.971987 
178. 0.761783 0.438095 0.213971 
179. 0.94884 0.233578 0.393973 
180. 0.128327 0.85177 0.382202 
181. 0.181319 0.391697 0.986844 
182. 0.0820513 0.290232 0.355534 
183. 0.39475 0.666789 0.482286 
184. 0.710012 0.670208 0.572408 
185. 0.0687424 0.960806 0.434635 
186. 0.168498 0.658608 0.544344 
187. 0.864225 0.974969 0.266232 
188. 0.69011 0.862393 0.451874 
189. 0.730525 0.294505 0.117362 
190. 0.41746 0.0299145 0.812246 
191. 0.0959707 0.542491 0.957214 
192. 0.63138 0.106105 0.99402 
193. 0.732234 0.0178266 0.363447 
194. 0.44652 0.51514 0.597865 
195. 0.589988 0.781685 0.915922 
196. 0.0285714 0.435165 0.055431 
197. 0.485714 0.984615 0.897205 
198. 0.256166 0.682173 0.607736 
199. 0.354335 0.977778 0.418269 
200. 0.0229548 0.100977 0.340109 
201. 0.390232 0.582051 0.673323 
202. 0.633211 0.468376 0.675441 
203. 0.76337 0.807204 0.177158 
204. 0.975824 0.604029 0.110802 
205. 0.587057 0.336264 0.372379 
206. 0.978877 0.578999 0.0947064 
207. 0.63895 0.208913 0.790195 
208. 0.860928 0.755556 0.400454 
209. 0.634066 0.214408 0.460155 
210. 0.7779 0.222466 0.598082 
211. 0.222711 0.907448 0.739139 
212. 0.785714 0.123687 0.231677 
213. 0.355556 0.51221 0.615961 
214. 0.0437118 0.532601 0.0362898 
215. 0.743101 0.265568 0.293565 
216. 0.631258 0.570574 0.742314 
217. 0.730159 0.492918 0.713186 
218. 0.411233 0.89304 0.732289 
219. 0.990232 0.899267 0.183186 
220. 0.83199 0.428449 0.903592 
221. 0.142125 0.413797 0.552516 
222. 0.415873 0.168498 0.798793 
223. 0.0689866 0.320635 0.672395 
224. 0.17265 0.250672 0.0225611 
225. 0.934799 0.304518 0.64291 
226. 0.889744 0.880952 0.53624 
227. 0.12381 0.871917 0.622193 
228. 0.104518 0.103907 0.997408 
229. 0.776679 0.831136 0.67029 
230. 0.201954 0.637973 0.449514 
231. 0.432845 0.221123 0.372695 
232. 0.357509 0.793284 0.20579 
233. 0.0769231 0.421001 0.442822 
234. 0.30757 0.78083 0.410581 
235. 0.228083 0.362515 0.931705 
236. 0.877045 0.810134 0.15407 
237. 0.908059 0.853114 0.574309 
238. 0.435165 0.505861 0.502494 
239. 0.396947 0.99304 0.241703 
240. 0.747375 0.398168 0.896768 
241. 0.703907 0.840293 0.781999 
242. 0.965079 0.416239 0.523958 
243. 0.404396 0.376068 0.0644552 
244. 0.873993 0.962027 0.990925 
245. 0.856166 0.762393 0.0128605 
246. 0.553114 0.795604 0.200935 
247. 0.401832 0.618193 0.163168 
248. 0.830403 0.540049 0.305704 
249. 0.11514 0.898657 0.204397 
250. 0.957265 0.376557 0.377015 
251. 0.271551 0.0034188 0.990281 
252. 0.615873 0.290598 0.054368 
253. 0.46862 0.697924 0.171412 
254. 0.96569 0.316361 0.567633 
255. 0.414774 0.887546 0.0978553 
256. 0.0503053 0.432234 0.331396 
257. 0.855189 0.735531 0.271607 
258. 0.536508 0.512576 0.340829 
259. 0.119536 0.563736 0.265929 
260. 0.0318681 0.911844 0.170385 
261. 0.541758 0.497314 0.197687 
262. 0.208791 0.266545 0.258807 
263. 0.549084 0.653602 0.746315 
264. 0.333333 0.549451 0.756348 
265. 0.666056 0.69768 0.666245 
266. 0.321612 0.295604 0.329197 
267. 0.466789 0.123321 0.786987 
268. 0.934554 0.481074 0.642047 
269. 0.885592 0.886447 0.292665 
270. 0.0532357 0.338828 0.52371 
271. 0.905006 0.796947 0.131768 
272. 0.383272 0.732357 0.727555 
273. 0.514896 0.242735 0.202046 
274. 0.752259 0.630037 0.496327 
275. 0.786935 0.546642 0.0371203 
276. 0.376313 0.458974 0.0651297 
277. 0.396581 0.00805861 0.858583 
278. 0.741148 0.684982 0.750791 
279. 0.598046 0.216361 0.869086 
280. 0.165568 0.388523 0.056553 
281. 0.814408 0.0203907 0.682381 
282. 0.843346 0.733089 0.450201 
283. 0.335165 0.305006 0.0697679 
284. 0.697192 0.922466 0.453526 
285. 0.850916 0.400122 0.881888 
286. 0.463858 0.00622711 0.413106 
287. 0.884737 0.529304 0.942067 
288. 0.0387057 0.98547 0.847937 
289. 0.657998 0.754823 0.340788 
290. 0.184615 0.152137 0.432247 
291. 0.138095 0.930159 0.261487 
292. 0.347375 0.0538462 0.744204 
293. 0.904762 0.576435 0.810044 
294. 0.379121 0.991087 0.458732 
295. 0.444322 0.232112 0.801217 
296. 0.552625 0.727228 0.958355 
297. 0.393529 0.80696 0.329592 
298. 0.689255 0.583272 0.0939881 
299. 0.715995 0.572161 0.046564 
300. 0.170452 0.627839 0.841295 
301. 0.897436 0.359829 0.0137119 
302. 0.254579 0.581807 0.573603 
303. 0.32735 0.447619 0.935023 
304. 0.564347 0.0429792 0.577082 
305. 0.592796 0.652869 0.461036 
306. 0.0763126 0.487179 0.551426 
307. 0.297192 0.40525 0.863609 
308. 0.0516484 0.442125 0.308326 
309. 0.878022 0.576068 0.611451 
310. 0.924664 0.959951 0.925598 
311. 0.71746 0.585958 0.592624 
312. 0.19536 0.800488 0.0462972 
313. 0.320757 0.0332112 0.0208171 
314. 0.452259 0.822711 0.316445 
315. 0.687546 0.921978 0.0896957 
316. 0.686935 0.358608 0.526725 
317. 0.676557 0.478022 0.826907 
318. 0.500122 0.626984 0.189103 
319. 0.501099 0.287179 0.364479 
320. 0.517705 0.407326 0.33036 
321. 0.8 0.618559 0.320323 
322. 0.598413 0.571184 0.624481 
323. 0.171795 0.544811 0.904309 
324. 0.920269 0.303297 0.09377 
325. 0.642735 0.777167 0.111077 
326. 0.925275 0.05116 0.0839417 
327. 0.727839 0.348107 0.200795 
328. 0.371795 0.585592 0.3062 
329. 0.31978 0.769353 0.545124 
330. 0.435653 0.387057 0.628519 
331. 0.40525 0.895971 0.551269 
332. 0.888523 0.14823 0.126234 
333. 0.103053 0.598046 0.373987 
334. 0.75177 0.827839 0.183263 
335. 0.778632 0.357753 0.712889 
336. 0.235165 0.405372 0.0544744 
337. 0.997436 0.452503 0.761887 
338. 0.954457 0.45812 0.47466 
339. 0.22381 0.935531 0.49164 
340. 0.804396 0.510501 0.878275 
341. 0.673138 0.387302 0.50811 
342. 0.442002 0.916728 0.0250424 
343. 0.513187 0.912454 0.237141 
344. 0.723199 0.549206 0.244147 
345. 0.292918 0.676923 0.612169 
346. 0.979121 0.531502 0.434541 
347. 0.643101 0.172161 0.186909 
348. 0.931502 0.63199 0.399652 
349. 0.8337 0.712698 0.612689 
350. 0.171184 0.572039 0.35902 
351. 0.90989 0.61746 0.31924 
352. 0.4663 0.477778 0.475172 
353. 0.926252 0.606227 0.619024 
354. 0.744444 0.523077 0.295068 
355. 0.65409 0.456166 0.583857 
356. 0.118193 0.769475 0.522218 
357. 0.00903541 0.397436 0.942425 
358. 0.153602 0.778022 0.0169577 
359. 0.610989 0.12381 0.421979 
360. 0.385592 0.522589 0.024206 
361. 0.554335 0.414652 0.424082 
362. 0.422589 0.241148 0.883379 
363. 0.18315 0.495116 0.788798 
364. 0.113187 0.0797314 0.663358 
365. 0.924054 0.776435 0.254979 
366. 0.707082 0.989011 0.876005 
367. 0.0189255 0.0556777 0.653935 
368. 0.321734 0.732112 0.852846 
369. 0.468864 0.221978 0.939341 
370. 0.969841 0.865934 0.853623 
371. 0.485348 0.595482 0.982511 
372. 0.249939 0.60989 0.649401 
373. 0.248474 0.834432 0.916431 
374. 0.223565 0.918193 0.178272 
375. 0.800244 0.0368742 0.637219 
376. 0.602564 0.133944 0.0816974 
377. 0.242369 0.383883 0.223249 
378. 0.11978 0.626129 0.827586 
379. 0.0360195 0.21453 0.851437 
380. 0.612332 0.232845 0.297683 
381. 0.408425 0.789499 0.588248 
382. 0.942491 0.0992674 0.3117 
383. 0.0203907 0.436752 0.49771 
384. 0.346642 0.119414 0.105102 
385. 0.892308 0.148962 0.799351 
386. 0.167399 0.660317 0.100162 
387. 0.845543 0.120147 0.29364 
388. 0.372527 0.211233 0.808554 
389. 0.332234 0.952747 0.161681 
390. 0.647375 0.973748 0.0677999 
391. 0.0040293 0.758608 0.365573 
392. 0.0684982 0.473871 0.131339 
393. 0.164347 0.274115 0.453852 
394. 0.793651 0.296947 0.84436 
395. 0.490476 0.237485 0.111576 
396. 0.337118 0.183761 0.530132 
397. 0.730403 0.617827 0.705659 
398. 0.415385 0.508913 0.489387 
399. 0.0606838 0.252381 0.585563 
400. 0.0315018 0.449817 0.207629 
401. 0.535531 0.229792 0.612797 
402. 0.10293 0.530037 0.0693027 
403. 0.749695 0.047619 0.737242 
404. 0.743346 0.0471306 0.614901 
405. 0.635409 0.00561661 0.374046 
406. 0.800733 0.477411 0.813717 
407. 0.610867 0.575092 0.0878043 
408. 0.383516 0.876923 0.610219 
409. 0.519048 0.529426 0.378146 
410. 0.822833 0.995849 0.323235 
411. 0.986569 0.636874 0.0169108 
412. 0.769719 0.127717 0.569163 
413. 0.0836386 0.854701 0.361527 
414. 0.421734 0.640781 0.273457 
415. 0.16862 0.459829 0.0322853 
416. 0.8663 0.0807082 0.662266 
417. 0.725397 0.859463 0.137994 
418. 0.330281 0.0454212 0.124817 
419. 0.614164 0.86044 0.649628 
420. 0.43956 0.128449 0.270385 
421. 0.471673 0.916972 0.499062 
422. 0.0174603 0.933211 0.724215 
423. 0.296825 0.313309 0.497295 
424. 0.0454212 0.628083 0.0949072 
425. 0.772161 0.380586 0.824436 
426. 0.125153 0.34591 0.814837 
427. 0.12735 0.398779 0.67065 
428. 0.164713 0.892186 0.582042 
429. 0.799878 0.826618 0.51183 
430. 0.596337 0.253968 0.0816765 
431. 0.136508 0.584737 0.220083 
432. 0.320391 0.696703 0.383106 
433. 0.446032 0.212576 0.433539 
434. 0.581685 0.0667888 0.175332 
435. 0.887546 0.676435 0.491406 
436. 0.0864469 0.489988 0.649017 
437. 0.469475 0.643956 0.948017 
438. 0.98022 0.72967 0.552784 
439. 0.661783 0.0144078 6.36908e-05 
440. 0.248962 0.224542 0.661075 
441. 0.231868 0.0837607 0.261615 
442. 0.941392 0.118803 0.51891 
443. 0.0017094 0.0970696 0.451057 
444. 0.0290598 0.249939 0.983015 
445. 0.494017 0.242247 0.37018 
446. 0.397314 0.588523 0.339355 
447. 0.753602 0.018315 0.301958 
448. 0.809768 0.556654 0.431876 
449. 0.764469 0.30989 0.272023 
450. 0.994505 0.337485 0.626634 
451. 0.90464 0.682784 0.439231 
452. 0.377045 0.0295482 0.560698 
453. 0.409035 0.511355 0.587589 
454. 0.952869 0.459951 0.669338 
455. 0.196825 0.0910867 0.222093 
456. 0.345665 0.741514 0.681563 
457. 0.875702 0.0210012 0.0712639 
458. 0.885226 0.784982 0.23005 
459. 0.0470085 0.715385 0.180083 
460. 0.799145 0.800366 0.896953 
461. 0.583883 0.0228327 0.189697 
462. 0.924908 0.940659 0.8152 
463. 0.721612 0.946398 0.658365 
464. 0.265934 0.434066 0.375777 
465. 0.520391 0.891209 0.456874 
466. 0.845665 0.74359 0.187395 
467. 0.374603 0.197436 0.102546 
468. 0.367521 0.780098 0.597505 
469. 0.247131 0.300244 0.837353 
470. 0.200733 0.517705 0.76618 
471. 0.412088 0.999634 0.128707 
472. 0.0046398 0.958608 0.379483 
473. 0.0788767 0.471795 0.979057 
474. 0.340781 0.0976801 0.0718584 
475. 0.792674 0.301832 0.556189 
476. 0.473871 0.652625 0.947429 
477. 0.054823 0.466422 0.732553 
478. 0.93199 0.641148 0.680046 
479. 0.842002 0.490965 0.616933 
480. 0.312332 0.726984 0.275919 
481. 0.309035 0.786203 0.836534 
482. 0.252991 0.81917 0.694401 
483. 0.300366 0.621001 0.373356 
484. 0.105617 0.778755 0.688409 
485. 0.79536 0.186081 0.900417 
486. 0.519536 0.815018 0.0638465 
487. 0.831136 0.268132 0.714123 
488. 0.127595 0.788523 0.18629 
489. 0.168864 0.0162393 0.513172 
490. 0.870452 0.38022 0.735455 
491. 0.795971 0.314774 0.187238 
492. 0.529915 0.752625 0.115704 
493. 0.00744811 0.965446 0.597988 
494. 0.126618 0.0528694 0.546486 
495. 0.152259 0.493407 0.787715 
496. 0.588156 0.934554 0.993591 
497. 0.997558 0.427473 0.689614 
498. 0.956532 0.330769 0.508006 
499. 0.259096 0.111966 0.901731 
500. 0.404151 0.515995 0.00708077 
501. 0.869841 0.854335 0.500497 
502. 0.785592 0.609646 0.51035 
503. 0.35348 0.813675 0.479986 
504. 0.00842491 0.153968 0.622095 
505. 0.143223 0.0857143 0.424883 
506. 0.434554 0.28486 0.330192 
507. 0.386569 0.210134 0.274297 
508. 0.57094 0.859341 0.528695 
509. 0.704884 0.0350427 0.0286548 
510. 0.981685 0.978388 0.203119 
511. 0.686691 0.152869 0.125406 
512. 0.672405 0.99243 0.173178 
513. 0.429548 0.346276 0.497018 
514. 0.301465 0.429915 0.825426 
515. 0.124298 0.538339 0.863396 
516. 0.112821 0.753358 0.38694 
517. 0.917827 0.0275946 0.371093 
518. 0.601221 0.345299 0.920677 
519. 0.219536 0.346886 0.655209 
520. 0.731746 0.481807 0.505451 
521. 0.438217 0.948718 0.620692 
522. 0.44884 0.631258 0.629666 
523. 0.629426 0.650427 0.308804 
524. 0.699023 0.279609 0.887915 
525. 0.882051 0.76398 0.268424 
526. 0.993162 0.930525 0.664959 
527. 0.881807 0.0849817 0.12267 
528. 0.989011 0.222589 0.46089 
529. 0.811233 0.917827 0.0340194 
530. 0.789377 0.00573871 0.142148 
531. 0.417827 0.48779 0.91926 
532. 0.102198 0.457143 0.279394 
533. 0.737241 0.852503 0.851371 
534. 0.531624 0.453968 0.204378 
535. 0.0365079 0.582662 0.1763 
536. 0.620635 0.520269 0.0253707 
537. 0.549573 0.21746 0.0305256 
538. 0.341636 0.481929 0.454496 
539. 0.807204 0.959096 0.601753 
540. 0.720879 0.513309 0.711844 
541. 0.25348 0.626007 0.501385 
542. 0.308669 0.204151 0.0245548 
543. 0.246764 0.350794 0.155762 
544. 0.194505 0.813919 0.878983 
545. 0.306227 0.174725 0.197011 
546. 0.20525 0.849939 0.695571 
547. 0.488889 0.23602 0.85231 
548. 0.310134 0.0592186 0.870564 
549. 0.271673 0.032967 0.126666 
550. 0.617949 0.801954 0.61407 
551. 0.503907 0.157753 0.226282 
552. 0.565446 0.407448 0.433414 
553. 0.611477 0.628938 0.276136 
554. 0.393895 0.453236 0.332405 
555. 0.695482 0.520391 0.229148 
556. 0.821856 0.227839 0.526105 
557. 0.969963 0.36398 0.273149 
558. 0.487424 0.934676 0.721551 
559. 0.285226 0.437851 0.0747953 
560. 0.848352 0.212821 0.0817739 
561. 0.420269 0.0875458 0.039112 
562. 0.143712 0.440537 0.530482 
563. 0.442857 0.441148 0.806992 
564. 0.527717 0.49304 0.477587 
565. 0.970208 0.903419 0.899264 
566. 0.491575 0.781319 0.671087 
567. 0.3558 0.404029 0.706961 
568. 0.0478632 0.338339 0.00408518 
569. 0.813675 0.755433 0.129563 
570. 0.830891 0.204029 0.958374 
571. 0.123443 0.340415 0.53808 
572. 0.0982906 0.931868 0.446391 
573. 0.670818 0.199145 0.234342 
574. 0.402564 0.925397 0.0902742 
575. 0.842857 0.649206 0.842056 
576. 0.326862 0.175824 0.694831 
577. 0.556044 0.943346 0.322783 
578. 0.451648 0.174603 0.65464 
579. 0.677167 0.83956 0.303747 
580. 0.510501 0.353968 0.717861 
581. 0.677534 0.0836386 0.17628 
582. 0.516728 0.108425 0.323763 
583. 0.783394 0.215018 0.855753 
584. 0.316117 0.274359 0.31178 
585. 0.373382 0.317705 0.746587 
586. 0.346764 0.0015873 0.989398 
587. 0.894383 0.134921 0.214836 
588. 0.202686 0.466911 0.936113 
589. 0.445299 0.682662 0.137027 
590. 0.569231 0.0191697 0.394426 
591. 0.675824 0.629304 0.633253 
592. 0.487668 0.484371 0.238392 
593. 0.289377 0.166545 0.531825 
594. 0.918926 0.154579 0.95079 
595. 0.619902 0.137607 0.48714 
596. 0.537118 0.695238 0.763573 
597. 0.129915 0.0880342 0.584323 
598. 0.208303 0.482051 0.359008 
599. 0.540781 0.969475 0.76085 
600. 0.192186 0.39536 0.413391 
601. 0.266789 0.601587 0.760932 
602. 0.534921 0.128694 0.290848 
603. 0.0925519 0.937729 0.356804 
604. 0.57326 0.697314 0.309205 
605. 0.744322 0.264469 0.813897 
606. 0.652015 0.477167 0.212219 
607. 0.082906 0.554335 0.0289098 
608. 0.40928 0.112698 0.713331 
609. 0.957021 0.578266 0.448516 
610. 0.267399 0.146642 0.675138 
611. 0.545299 0.463126 0.847551 
612. 0.268987 0.360928 0.787629 
613. 0.572283 0.675214 0.281496 
614. 0.727717 0.386203 0.830276 
615. 0.369719 0.823321 0.721992 
616. 0.284493 0.973871 0.486689 
617. 0.835897 0.768987 0.575679 
618. 0.208547 0.355922 0.607548 
619. 0.544933 0.249695 0.536802 
620. 0.262759 0.22149 0.424944 
621. 0.466422 0.82442 0.0592616 
622. 0.928327 0.0671551 0.270342 
623. 0.779731 0.70757 0.0930621 
624. 0.253846 0.136142 0.713838 
625. 0.314896 0.570696 0.959572 
626. 0.352625 0.503297 0.359138 
627. 0.994017 0.775092 0.449862 
628. 0.896337 0.874847 0.324474 
629. 0.235897 0.352991 0.406193 
630. 0.00976801 0.000610501 0.560633 
631. 0.166056 0.0518926 0.109637 
632. 0.822711 0.410379 0.825043 
633. 0.984493 0.878022 0.757655 
634. 0.734432 0.622833 0.480151 
635. 0.483883 0.934432 0.232131 
636. 0.225031 0.417094 0.284006 
637. 0.825153 0.448718 0.363123 
638. 0.0258852 0.136386 0.488541 
639. 0.440049 0.591453 0.887121 
640. 0.479976 0.267399 0.246143 
641. 0.158608 0.726252 0.502322 
642. 0.696093 0.723932 0.563123 
643. 0.832234 0.52674 0.808459 
644. 0.146276 0.767521 0.0397978 
645. 0.486447 0.23138 0.192897 
646. 0.26862 0.664957 0.411285 
647. 0.566056 0.51453 0.0683556 
648. 0.621856 0.729792 0.0283145 
649. 0.57033 0.0247863 0.632973 
650. 0.694505 0.106593 0.567967 
651. 0.80525 0.0593407 0.484274 
652. 0.687668 0.0433455 0.985501 
653. 0.689011 0.684005 0.446373 
654. 0.711844 0.133333 0.602762 
655. 0.0998779 0.33199 0.942696 
656. 0.697802 0.215751 0.0446378 
657. 0.861294 0.33663 0.418158 
658. 0.640293 0.610134 0.867528 
659. 0.883761 0.855189 0.691588 
660. 0.0221001 0.682295 0.428298 
661. 0.375702 0.988156 0.19306 
662. 0.386203 0.98315 0.467561 
663. 0.564713 0.557631 0.467055 
664. 0.599023 0.392918 0.252851 
665. 0.182173 0.394017 0.114706 
666. 0.0965812 0.487424 0.591283 
667. 0.641758 0.426007 0.716718 
668. 0.908669 0.206227 0.311289 
669. 0.445543 0.527228 0.0704722 
670. 0.573382 0.809035 0.230202 
671. 0.746398 0.759707 0.584632 
672. 0.687302 0.567277 0.464646 
673. 0.682784 0.212698 0.17959 
674. 0.605983 0.0771673 0.321912 
675. 0.300488 0.558486 0.854452 
676. 0.107692 0.465568 0.930685 
677. 0.830647 0.568498 0.37351 
678. 0.119292 0.316484 0.445875 
679. 0.0277167 0.897924 0.545768 
680. 0.471184 0.314286 0.288282 
681. 0.00915751 0.711111 0.447003 
682. 0.155678 0.437118 0.462995 
683. 0.646276 0.150549 0.247226 
684. 0.98547 0.795238 0.994991 
685. 0.751038 0.587057 0.293938 
686. 0.766178 0.893895 0.35021 
687. 0.0234432 0.971917 0.803368 
688. 0.398535 0.60293 0.704934 
689. 0.774359 0.242857 0.748109 
690. 0.162515 0.640415 0.0413498 
691. 0.762515 0.428694 0.79954 
692. 0.961294 0.434554 0.933096 
693. 0.340049 0.932723 0.879669 
694. 0.78022 0.271795 0.723971 
695. 0.262149 0.0997558 0.960545 
696. 0.456044 0.478266 0.473992 
697. 0.751893 0.647741 0.951777 
698. 0.780708 0.0512821 0.830356 
699. 0.270452 0.358486 0.132524 
700. 0.597192 0.467643 0.810338 
701. 0.151038 0.744933 0.274726 
702. 0.567399 0.3116 0.497844 
703. 0.644689 0.482784 0.119182 
704. 0.958486 0.0316239 0.888665 
705. 0.292308 0.68779 0.154046 
706. 0.968742 0.455067 0.494171 
707. 0.466667 0.676068 0.785784 
708. 0.932479 0.458852 0.0639573 
709. 0.850305 0.997802 0.679507 
710. 0.45348 0.80293 0.0541324 
711. 0.708303 0.240781 0.200698 
712. 0.0396825 0.46398 0.725796 
713. 0.674603 0.433578 0.906036 
714. 0.466911 0.849695 0.213385 
715. 0.93663 0.215263 0.263379 
716. 0.920879 0.295116 0.809554 
717. 0.653114 0.0818071 0.755205 
718. 0.101587 0.952869 0.783893 
719. 0.726862 0.984127 0.308556 
720. 0.355189 0.640659 0.131522 
721. 0.0374847 0.449451 0.292386 
722. 0.637241 0.198657 0.968374 
723. 0.831868 0.883883 0.952892 
724. 0.140049 0.120879 0.199455 
725. 0.380586 0.273504 0.859996 
